%==============================================================================
% Europa Mission Encounter File 
% Based on Original File: 21F31_MEGA_L241010_A300411_LP01_V7_ENCOUNTERS.csv 
%
% Author: Ben K. Bradley, bbradley@jpl.nasa.gov 
% Date: 23-May-2024
%
% SPK Trajectory File  : 21F31_MEGA_L241010_A300411_LP01_V7_scpse_MP.bsp 
% Body Orientation File: pck00010.tpc 
% Orbit Number File    : data_Europa_21F31_V7_LP01_orbitnumber_verA_nostr.txt 
%
%
% Note: Original C/A times and altitude have been recomputed here using
%       an ellipsoidal (2-axis) shape of each body from the PCK and recgeo.
%
%
% col 01: Encounter Body (SPICE ID) (Io=501, Europa=502, Ganymede=503, Callisto=504) 
% col 02: Encounter Number 
% col 03: Jupiter Orbit Number Encounter Falls On 
% col 04: Time of Closest Approach (TCA) (min range to body center), ET sec 
% col 05: Altitude at C/A wrt Encounter Body (km) (ellipsoidal alt) 
%
% col 06: TCA - 2days (Encounter Start), ET sec 
% col 07: Time Between Previous Apojove and TCA, days  
% col 08: Time Between TCA and Next Apojove, days  
% col 09: Encounter Duration: C/A-2d to C/A(+1)-2d, days 
%
% col 10: Local Solar Time at C/A (24h clock), hours (eg, 16.5 instead of 16:30) 
% col 11: Planetodetic Latitude of C/A, deg 
% col 12: East Longitude of C/A, deg [0,360] 
% col 13: Planetocentric Latitude of C/A, deg 
% col 14: Side of C/A Passage: 1=Jovian, 2=Anti-Jovian 
% col 15: True anomaly of encounter body's orbit around Jupiter at TCA, deg [0,360] 
% col 16: Jupiter Magnetic System III latitude of S/C at TCA, deg 
% col 17: Jupiter Magnetic System III longitude of S/C at TCA, deg [0,360] 
% col 18: Jupiter System III longitude of S/C at TCA, deg [0,360] 
%
% col 19: Time of Perijove wrt Encounter C/A, seconds (NaN if no PJ within 30 hrs of TCA)
% col 20: Perijove Distance from Jupiter, Rj 
% col 21: SEP Angle at TCA (Sun-Earth-Probe), deg 
% col 22: Sub-S/C Ground Speed at C/A, km/s 
% col 23: Jupiter Local Solar Time at C/A (24h clock), hours (eg, 16.5 instead of 16:30) 
%
% col 24: Jupiter Range at Encounter C/A, RJ 
% col 25: Solar Phase Angle at C/A with Encounter Body, degrees
% col 26: Inbound Solar Phase Angle at 40k km Altitude, degrees
% col 27: Outbound Solar Phase Angle at 40k km Altitude, degrees
%
% col 28: Earth Range, au 
% col 29: Sun Range, au 
%
% col 30: S/C Orbit Inclination wrt Jupiter Equator after C/A, deg 
% col 31: Encounter Body Revolutions, # revs 
% col 32: Spacecraft Revolutions, # revs 
% col 33: Inbound vs. Outbound Flyby (0 = outbound, 1 = inbound) (wrt Perijove)
%
%
% col 34: Source of Predicted C/A OD Uncertainty Values (1 = Nav generated file, 0 = made up by MP) 
% col 35: Predicted RADIAL Position C/A OD Uncertainty (3-sigma), km 
% col 36: Predicted ALONG-TRACK Position C/A OD Uncertainty (3-sigma), km 
% col 37: Predicted CROSS-TRACK Position C/A OD Uncertainty (3-sigma), km 
%
% col 38: Source of Reconstructed C/A OD Uncertainty Values (1 = Nav generated file, 0 = made up by MP) 
% col 39: Reconstructed RADIAL Position C/A OD Uncertainty (3-sigma), km 
% col 40: Reconstructed ALONG-TRACK Position C/A OD Uncertainty (3-sigma), km 
% col 41: Reconstructed CROSS-TRACK Position C/A OD Uncertainty (3-sigma), km 
%
% col 42: Reconstructed RADIAL Velocity C/A OD Uncertainty (3-sigma), km/s 
% col 43: Reconstructed ALONG-TRACK Velocity C/A OD Uncertainty (3-sigma), km/s 
% col 44: Reconstructed Cross-TRACK Velocity C/A OD Uncertainty (3-sigma), km/s 
%
% col 45: Angle Between the Sun and S/C+X Axis at C/A Assuming Nadir-Ram Attitude (deg) 
% col 46: Encounter Body Right Ascension (wrt Jupiter) relative to ECLIPJ2000 Frame (deg) [0,360) 
%
%
% Encounter Body ID, Encounter Number, Jupiter Orbit Number, TCA (ET sec), C/A Altitude (km), Encounter Start (TCA-2days) (ET sec), Prev Apo to CA (days), CA to Next Apo (days), Encounter Duration (days) , LST (hrs), C/A Planetodetic Latitude (deg), C/A East Longitude (deg), C/A Planetocentric Latitude (deg), C/A Side of Encounter Body, True Anomaly of Body at TCA (deg), Jupiter Magnetic Latitude at TCA (deg), Jupiter Magnetic Longitude at TCA (deg), Jupiter System III Longitude at TCA (deg), Perijove Time wrt TCA (sec), Perijove Distance (Rj), SEP Angle (deg), Sub-S/C Ground Speed (km/s), Jupiter Local Solar Time at C/A, Jupiter Range at TCA (RJ), Solar Phase Angle at TCA wrt Enc Body (deg), Inbound Solar Phase Angle at 40k km Alt (deg), Outbound Solar Phase Angle at 40k km Alt (deg), Earth Range (au), Sun Range (au), S/C Orbit Inclincation (deg), Enc Body Revolutions, S/C Revolutions, Inbound vs. Outbound Flyby (0=outbound / 1=inbound), Source of Pred OD Values (1=Nav / 0 = madeup), Pred Radial OD (1-sig) (km), Pred Along-Track OD (1-sig) (km), Pred Cross-Track OD (1-sig) (km), Source of Recon OD Values (1=Nav / 0 = madeup), Recon Radial OD (1-sig) (km), Recon Along-Track OD (1-sig) (km), Recon Cross-Track OD (1-sig) (km), Recon Radial Vel OD (1-sig) (km), Recon Along-Track Vel OD (1-sig) (km), Recon Cross-Track Vel OD (1-sig) (km), Angle Between Sun and S/C+X at C/A (deg), Enc Body Right Ascension (ECLIPJ2000 wrt Jup) (deg)
% END_OF_HEADER ===============================================================
502, 05, 10,    994605310.934, 49.999,    994432510.934, 10.7412654, 10.6099292, 21.3115517, 11.779167, -31.453469, 179.147398, -31.355406, 2, 86.950157, 7.943442, 186.938241, 186.366957, -6961.27, 9.33616, 154.49020, 4.64915, 11.8072, 9.403, 29.5263, 106.6364, 78.4147, 4.332069, 5.267857, 5.320, 6.00, 1.00, 0, 1, 0.68253, 1.60083, 0.89415, 1, 0.00782, 0.00789, 0.01449, 1.15562e-05, 3.89965e-06, 1.93084e-05, 115.50713, 82.714329 
502, 06, 11,    996446629.397, 34.999,    996273829.397, 10.7016271, 10.6549022, 21.3116852, 11.691944, -5.765839, 179.109985, -5.743635, 2, 102.319612, -9.686106, 354.806838, 354.293565, -3726.82, 9.41321, 132.45686, 4.70201, 11.7192, 9.431, 5.9765, 98.6391, 87.0941, 4.521534, 5.260474, 5.560, 6.00, 1.00, 0, 1, 0.23829, 0.62739, 0.66036, 1, 0.01346, 0.00510, 0.00485, 3.95363e-06, 1.05793e-05, 3.79623e-05, 91.73731, 83.118175 
502, 07, 12,    998287959.128, 84.998,    998115159.128, 10.6567845, 10.6967988, 21.3113411, 11.558611, 21.204797, 178.375716, 21.132127, 2, 117.911330, 9.182523, 162.364821, 162.040115, 4031.95, 9.43198, 111.62171, 4.55007, 11.6261, 9.453, 23.9073, 89.9084, 94.9096, 4.795237, 5.253025, 4.620, 6.00, 1.00, 1, 1, 0.42846, 0.59688, 0.70410, 1, 0.00900, 0.00613, 0.01107, 1.06746e-05, 6.67264e-06, 2.71649e-05, 66.22299, 83.456736 
502, 08, 13,   1000129259.579, 49.998,    999956459.579, 10.6145491, 10.7299481, 21.3125049, 11.416667, 48.350987, 177.549568, 48.241466, 2, 133.637265, -9.842805, 330.127813, 329.976731, 6617.99, 9.40600, 92.00832, 4.66008, 11.5261, 9.466, 50.6395, 83.2353, 100.3111, 5.112800, 5.245524, 2.640, 6.00, 1.00, 1, 1, 0.81486, 0.82386, 0.53247, 1, 0.00960, 0.00974, 0.01236, 6.92559e-06, 1.27475e-06, 6.74712e-06, 40.56307, 83.689263 
502, 09, 14,   1001970660.446, 99.999,   1001797860.446, 10.5825620, 10.7605235, 21.5254115, 11.087222, 77.344785, 173.798488, 77.298990, 2, 149.746053, 8.628226, 136.987911, 136.967766, 7207.61, 9.39858, 73.42008, 4.50697, 11.4300, 9.471, 79.4241, 80.0257, 100.8179, 5.435006, 5.237976, 0.310, 6.06, 1.06, 1, 1, 0.80049, 0.73644, 0.12732, 1, 0.02106, 0.01904, 0.00562, 6.67379e-06, 3.74291e-06, 1.85061e-06, 14.70443, 83.987854 
502, 10, 15,   1003830456.935, 25.000,   1003657656.935, 10.7648989, 10.5859005, 21.3136350, 12.946667, 74.077703, 181.303087, 74.018518, 2, 189.090275, 8.841947, 139.802797, 139.757716, -6878.34, 9.41633, 55.40759, 4.70985, 12.7422, 9.482, 76.2135, 96.6597, 84.6548, 5.730639, 5.230319, 2.430, 6.00, 1.00, 0, 1, 0.79734, 0.50592, 0.33501, 1, 0.02366, 0.02154, 0.00759, 1.05747e-05, 4.94105e-06, 2.45711e-06, 14.97061, 105.433443 
502, 11, 16,   1005671955.639, 34.999,   1005499155.639, 10.7277419, 10.6235323, 21.3192634, 12.715278, 41.863118, 178.917928, 41.752523, 2, 205.686835, -8.378508, 305.728226, 305.845531, -6032.21, 9.43536, 38.11398, 4.67634, 12.6508, 9.485, 44.4645, 95.4232, 88.7411, 5.965350, 5.222646, 4.210, 6.00, 1.00, 0, 1, 0.54105, 0.54270, 0.42468, 1, 0.00776, 0.00857, 0.01086, 9.40451e-06, 1.06310e-06, 9.32368e-06, 45.70324, 105.814489 
502, 12, 17,   1007513940.922, 64.940,   1007341140.922, 10.6957418, 11.5587913, 46.1588782, 12.128056, -5.856065, 170.627759, -5.833933, 2, 222.916014, 5.682620, 107.547177, 107.616190, -3522.09, 9.46020, 21.12914, 4.58829, 12.5983, 9.476, 4.6757, 89.7154, 95.8303, 6.122055, 5.214955, 3.910, 13.00, 2.00, 0, 1, 0.21087, 0.50610, 0.53586, 1, 0.00902, 0.00538, 0.00434, 2.55824e-06, 5.55802e-06, 2.67234e-05, 93.46199, 106.799014 
502, 13, 19,   1011502068.272, 49.982,   1011329268.272, 11.5222776, 10.7202280, 21.3209691, 12.793889, 1.400770, 185.094243, 1.395392, 2, 257.381545, 0.399932, 244.021246, 243.742103, 5318.43, 9.39259, 15.28359, 4.62171, 12.2833, 9.431, 12.2398, 82.2378, 103.4763, 6.140877, 5.198212, 4.000, 6.00, 1.00, 1, 1, 0.57624, 2.01279, 0.81435, 1, 0.00984, 0.00553, 0.00273, 2.29378e-06, 6.96612e-06, 3.37884e-05, 83.77234, 105.857879 
502, 14, 20,   1013344200.339, 34.997,   1013171400.339, 10.6007450, 10.7444380, 21.3107368, 12.240833, -45.809362, 177.159435, -45.698115, 2, 274.294933, -4.315836, 45.094816, 44.451504, 7225.51, 9.32484, 32.20235, 4.64609, 12.2575, 9.398, 44.4560, 74.9144, 109.5605, 5.998776, 5.190481, 2.070, 6.00, 1.00, 1, 1, 0.60990, 0.54669, 0.59088, 1, 0.00839, 0.00760, 0.01016, 6.43401e-06, 1.15830e-06, 6.72840e-06, 129.49282, 107.260262 
502, 15, 21,   1015185448.107, 99.999,   1015012648.107, 10.5663000, 10.7428209, 21.3356585, 11.940278, -79.065505, 174.057470, -79.025604, 2, 290.427103, 5.024096, 213.730410, 213.142275, 7578.23, 9.28028, 49.36459, 4.44953, 12.1694, 9.363, 77.7413, 69.8644, 111.2511, 5.773483, 5.182748, 0.760, 6.01, 1.01, 1, 1, 1.32420, 0.47121, 0.28269, 1, 0.02207, 0.02070, 0.00484, 6.12253e-06, 4.34511e-06, 1.51681e-06, 155.91287, 107.716784 
502, 16, 22,   1017028849.880, 201.299,   1016856049.880, 10.5928477, 8.9832630, 17.7843764, 13.564722, -14.188442, 197.311686, -14.140621, 2, 308.987966, -9.095816, 3.422170, 2.813376, 9501.89, 9.23444, 66.98731, 4.05111, 12.2600, 9.356, 26.5658, 69.1002, 115.9459, 5.482785, 5.175007, 1.090, 5.01, 1.01, 1, 1, 0.42279, 0.64812, 1.76502, 1, 0.00692, 0.00624, 0.02213, 2.49775e-06, 1.57518e-06, 9.35004e-06, 102.45831, 110.805454 
502, 17, 23,   1018565420.082, 24.687,   1018392620.082, 8.8011144, 7.2805537, 14.5498023, 14.010556, 16.573476, 202.600289, 16.512331, 2, 324.610078, -8.915820, 4.608422, 3.994906, 12146.51, 9.14927, 82.17308, 4.43751, 12.3686, 9.337, 34.6069, 62.4658, 124.6565, 5.208792, 5.168575, 0.380, 4.10, 1.10, 1, 1, 0.31827, 0.89364, 0.81618, 1, 0.01253, 0.04045, 0.03455, 8.68243e-06, 3.26764e-06, 1.72123e-05, 75.44908, 113.922854 
502, 18, 24,   1019822523.869, 74.601,   1019649723.869, 7.2692586, 8.7823789, 17.5703835, 13.116667, -1.171420, 155.401909, -1.166989, 2, 10.998772, -9.630061, 333.744141, 333.536213, -11172.49, 9.16574, 95.07817, 4.24619, 14.6658, 9.324, 16.7482, 77.3158, 109.8758, 4.977072, 5.164334, 0.440, 4.95, 0.95, 0, 1, 0.47385, 0.75519, 0.86901, 1, 0.00672, 0.00587, 0.06866, 1.36848e-06, 1.15556e-06, 3.05577e-05, 89.95472, 149.700569 
502, 19, 25,   1021340605.761, 49.694,   1021167805.761, 8.7880133, 7.2622217, 14.5407898, 14.828333, -0.576540, 201.379733, -0.574325, 2, 5.522805, 8.862344, 139.131156, 139.096173, 10796.67, 9.17524, 111.27958, 4.30931, 13.3150, 9.323, 42.4266, 50.8667, 136.6272, 4.703737, 5.157203, 0.460, 4.10, 1.10, 1, 1, 0.06624, 0.66516, 1.39650, 1, 0.00685, 0.00520, 0.05270, 1.31175e-06, 1.13895e-06, 4.17198e-05, 89.36069, 130.817089 
502, 20, 26,   1022596930.812, 99.209,   1022424130.812, 7.2785775, 8.7703023, 17.5598633, 13.941944, 0.256997, 155.216483, 0.256039, 2, 50.110461, 7.097324, 115.337351, 115.472573, -11949.82, 9.17362, 125.35499, 4.19251, 15.5444, 9.354, 29.1579, 64.7749, 122.0878, 4.500379, 5.153479, 0.450, 4.94, 0.94, 0, 1, 0.32136, 0.55071, 2.13252, 1, 0.00619, 0.00626, 0.05512, 1.42787e-06, 9.31307e-07, 1.97201e-05, 88.78728, 165.580976 
502, 21, 27,   1024114103.750, 34.666,   1023941303.750, 8.7895696, 7.2613068, 14.5341117, 15.660833, 0.247429, 202.368160, 0.246470, 2, 44.418567, -6.339281, 289.008995, 289.142209, 10622.42, 9.20455, 143.08546, 4.37853, 14.1233, 9.346, 54.9231, 38.3904, 149.1033, 4.297632, 5.146060, 0.440, 4.09, 1.09, 1, 1, 0.07629, 1.05216, 0.82968, 1, 0.00637, 0.00646, 0.05320, 1.82798e-06, 9.81851e-07, 2.18574e-05, 88.89019, 145.648174 
502, 22, 28,   1025369851.924, 74.639,   1025197051.924, 7.2728156, 8.7767604, 17.5725472, 14.761111, -0.255031, 156.693222, -0.254066, 2, 88.274091, -3.393780, 270.283469, 270.257590, -11849.29, 9.23203, 158.36344, 4.25754, 16.2808, 9.407, 41.4212, 52.5947, 134.5266, 4.184013, 5.142701, 0.450, 4.95, 0.95, 0, 1, 0.33363, 0.73086, 0.76143, 1, 0.00597, 0.00696, 0.03711, 1.66268e-06, 8.12299e-07, 1.26009e-05, 89.29579, 179.334476 
502, 23, 29,   1026888120.188, 24.679,   1026715320.188, 8.7957890, 7.2641396, 14.5653913, 16.436944, -1.649227, 201.921322, -1.642795, 2, 81.875770, 1.034326, 74.434176, 74.248133, 10318.32, 9.26525, 177.22234, 4.40850, 14.9497, 9.397, 66.5436, 26.8180, 160.7808, 4.119760, 5.135182, 0.530, 4.10, 1.10, 1, 1, 0.20859, 1.18800, 1.81272, 1, 0.00578, 0.00684, 0.04717, 1.88644e-06, 8.55301e-07, 1.67612e-05, 89.98768, 160.763781 
502, 24, 30,   1028146570.859, 98.602,   1027973770.859, 7.3012617, 8.7822141, 17.7704646, 15.480833, 16.066207, 152.239981, 16.009378, 2, 128.691592, -5.489918, 31.365431, 30.745880, -13647.29, 9.23318, 166.94997, 4.30119, 17.2808, 9.463, 54.1821, 41.6546, 144.2800, 4.138401, 5.132395, 0.500, 5.00, 1.00, 0, 1, 0.29646, 0.47466, 0.84501, 1, 0.00489, 0.00673, 0.01210, 2.53949e-06, 9.23225e-07, 5.58149e-06, 78.45284, 197.069567 
502, 25, 31,   1029681939.764, 34.442,   1029509139.764, 8.9882594, 6.9277186, 14.1964032, 3.308333, -12.872988, 329.689441, -12.824716, 1, 144.804162, -3.908128, 42.833843, 42.284220, -9979.85, 9.30491, 147.97752, 4.66608, 17.2714, 9.441, 128.9662, 38.1947, 135.5485, 4.239743, 5.126130, 0.330, 4.00, 1.00, 0, 1, 0.26247, 0.27612, 1.03464, 1, 0.00721, 0.02824, 0.02025, 7.30995e-06, 1.72482e-06, 7.19333e-06, 100.43214, 198.317758 
502, 26, 32,   1030908509.590, 2706.345,   1030735709.590, 7.2686915, 6.2602371, 28.3500858, 2.731667, -5.242409, 323.097585, -5.234845, 1, 154.707378, -5.157377, 282.879049, 282.940388, -14342.45, 9.15874, 133.26072, 1.66356, 17.1333, 9.419, 138.6546, 53.5095, 134.3219, 4.376368, 5.121006, 0.400, 7.98, 2.32, 0, 1, 0.18285, 0.21816, 2.06232, 1, 0.00869, 0.01668, 0.07907, 9.58981e-07, 4.93884e-07, 7.50575e-06, 94.86038, 197.313113 
504, 01, 34,   1033357957.156, 1332.991,   1033185157.156, 9.1740822, 5.4156152, 28.8061209, 17.144722, -8.733950, 68.316032, -8.733950, 1, 297.567330, 7.557542, 198.232971, 197.545576, NaN, NaN, 105.52813, 3.33535,  0.5967, 26.223, 77.2356, 11.8190, 166.0501, 4.764731, 5.124569, 0.600, 1.73, 1.46, 0, 1, NaN, NaN, NaN, 1, NaN, NaN, NaN, NaN, NaN, NaN, 91.82545, 312.030216 
